country,admin2_gadm,crop,treatment,mean_break_even_price,median_break_even_price,current_lime_price,pct_profitable_now,lime_price_gap,status
Ethiopia,Jimma,Maize,1 t/ha,719.774705941043,664.4789714285715,130,100,-589.774705941043,Profitable
Ethiopia,Jimma,Maize,2.5 t/ha,358.0001972462585,335.4523992380951,130,92.85714285714286,-228.0001972462585,Profitable
Ethiopia,Jimma,Maize,7.5 t/ha,106.25127042436021,93.88981387755099,130,26.190476190476193,23.748729575639786,Too Expensive
Ethiopia,Jimma,Soybean,1 t/ha,298.2861855516841,304.14344380952366,130,90.2439024390244,-168.28618555168413,Profitable
Ethiopia,Jimma,Soybean,2.5 t/ha,159.75079128455286,150.08091428571433,130,65.85365853658537,-29.75079128455286,Profitable
Ethiopia,Jimma,Soybean,7.5 t/ha,72.99610393230462,71.93319183673468,130,4.878048780487805,57.00389606769538,Too Expensive
Ethiopia,MisraqGojjam,Fababean,1 t/ha,405.7587330445284,328.60409523809517,130,69.56521739130434,-275.7587330445284,Profitable
Ethiopia,MisraqGojjam,Fababean,2.5 t/ha,236.63594462747926,174.83132539682532,130,56.52173913043478,-106.63594462747926,Profitable
Ethiopia,MisraqGojjam,Fababean,7.5 t/ha,90.69771766062695,92.34538945578228,130,34.78260869565217,39.30228233937305,Too Expensive
Ethiopia,MisraqGojjam,Wheat,1 t/ha,156.8403681047507,155.1268571428569,130,56.75675675675676,-26.840368104750695,Profitable
Ethiopia,MisraqGojjam,Wheat,2.5 t/ha,85.88725433607522,90.77284571428544,130,32.432432432432435,44.112745663924784,Too Expensive
Ethiopia,MisraqGojjam,Wheat,7.5 t/ha,36.13186287440946,35.945216326530584,130,2.7027027027027026,93.86813712559055,Too Expensive
Rwanda,Burera,Beans,1 t/ha,171.3119911579457,79.71877906976749,107,45,-64.3119911579457,Profitable
Rwanda,Burera,Beans,2.5 t/ha,85.04979331395344,41.14073643410762,107,15,21.950206686046556,Too Expensive
Rwanda,Burera,Beans,7.5 t/ha,45.76621899224795,34.409208194905496,107,10,61.23378100775205,Too Expensive
Rwanda,Burera,Maize,1 t/ha,335.4770414201182,356.13195266272135,107,90,-228.4770414201182,Profitable
Rwanda,Burera,Maize,2.5 t/ha,227.2667573964497,227.73692307692306,107,95,-120.26675739644969,Profitable
Rwanda,Burera,Maize,7.5 t/ha,105.75186390532541,109.4563820794587,107,50,1.2481360946745923,Too Expensive
Rwanda,Ngororero,Beans,1 t/ha,92.97363460183226,92.97363460183223,107,37.5,14.02636539816774,Too Expensive
Rwanda,Ngororero,Beans,2.5 t/ha,64.67435711002847,64.67435711002845,107,28.125,42.32564288997153,Too Expensive
Rwanda,Ngororero,Beans,7.5 t/ha,27.05625455552199,27.056254555521974,107,3.125,79.94374544447801,Too Expensive
Rwanda,Ngororero,Maize,1 t/ha,295.75827621774295,288.6995026378453,107,82.14285714285714,-188.75827621774295,Profitable
Rwanda,Ngororero,Maize,2.5 t/ha,178.81800855622043,170.9329511610452,107,82.14285714285714,-71.81800855622043,Profitable
Rwanda,Ngororero,Maize,7.5 t/ha,80.63629428742207,65.17179631792042,107,25,26.363705712577925,Too Expensive
Rwanda,Nyaruguru,Beans,1 t/ha,174.73776585171936,126.08042635658896,107,53.84615384615385,-67.73776585171936,Profitable
Rwanda,Nyaruguru,Beans,2.5 t/ha,158.9350009938382,123.95015503875982,107,58.97435897435898,-51.9350009938382,Profitable
Rwanda,Nyaruguru,Beans,7.5 t/ha,79.95709245534827,81.63496677740864,107,25.64102564102564,27.042907544651726,Too Expensive
Rwanda,Nyaruguru,Maize,1 t/ha,303.80388506813676,223.5644749800894,107,72.97297297297297,-196.80388506813676,Profitable
Rwanda,Nyaruguru,Maize,2.5 t/ha,239.5473698131476,222.9111479289939,107,94.5945945945946,-132.5473698131476,Profitable
Rwanda,Nyaruguru,Maize,7.5 t/ha,130.4814943952906,115.07906224895213,107,54.054054054054056,-23.48149439529061,Profitable
Tanzania,Geita,Beans,1 t/ha,152.61290322580663,138.33333333333357,95,54.83870967741935,-57.61290322580663,Profitable
Tanzania,Geita,Beans,2.5 t/ha,136.67333333333323,116.19999999999985,95,73.33333333333333,-41.67333333333323,Profitable
Tanzania,Geita,Beans,7.5 t/ha,68.31031746031742,59.285714285714285,95,10,26.68968253968258,Too Expensive
Tanzania,Geita,Maize,1 t/ha,236.22342560933873,239.8313884049856,95,71.42857142857143,-141.22342560933873,Profitable
Tanzania,Geita,Maize,2.5 t/ha,122.80810256123632,137.70823802214932,95,60.71428571428571,-27.808102561236325,Profitable
Tanzania,Geita,Maize,7.5 t/ha,65.10320517103234,63.693977386852254,95,28.57142857142857,29.896794828967657,Too Expensive
Tanzania,Mbozi,Beans,1 t/ha,138.33333333333357,138.33333333333277,95,55.55555555555556,-43.33333333333357,Profitable
Tanzania,Mbozi,Beans,2.5 t/ha,100.00987654320977,88.53333333333313,95,37.03703703703704,-5.009876543209771,Profitable
Tanzania,Mbozi,Beans,7.5 t/ha,52.84479717813048,39.52380952380948,95,14.814814814814813,42.15520282186952,Too Expensive
Tanzania,Mbozi,Maize,1 t/ha,312.269230300582,291.05781570370465,95,86.20689655172413,-217.26923030058202,Profitable
Tanzania,Mbozi,Maize,2.5 t/ha,166.63752317036693,159.9596425351791,95,72.41379310344827,-71.63752317036693,Profitable
Tanzania,Mbozi,Maize,7.5 t/ha,76.4040360747129,79.10763933209623,95,37.93103448275862,18.595963925287094,Too Expensive
