country,admin2_gadm,crop,treatment,price_for_50pct,price_for_60pct,price_for_70pct,price_for_80pct,current_lime_price,price_change_50,price_change_60,price_change_70,price_change_80
Ethiopia,Jimma,Maize,1 t/ha,NA,NA,NA,NA,130,NA,NA,NA,NA
Ethiopia,Jimma,Maize,2.5 t/ha,200,200,200,195.5,130,53.84615384615385,53.84615384615385,53.84615384615385,50.38461538461539
Ethiopia,Jimma,Maize,7.5 t/ha,95,84,68.66666666666667,46.99999999999999,130,-26.923076923076923,-35.38461538461539,-47.179487179487175,-63.84615384615384
Ethiopia,Jimma,Soybean,1 t/ha,195,195,195,195,130,50,50,50,50
Ethiopia,Jimma,Soybean,2.5 t/ha,150,136.66666666666666,120,105,130,15.384615384615385,5.128205128205121,-7.6923076923076925,-19.230769230769234
Ethiopia,Jimma,Soybean,7.5 t/ha,72.85714285714286,63.333333333333336,55.714285714285715,50,130,-43.956043956043956,-51.28205128205128,-57.14285714285714,-61.53846153846154
Ethiopia,MisraqGojjam,Fababean,1 t/ha,145,145,129.99999999999994,52.000000000000014,130,11.538461538461538,11.538461538461538,-4.372570681600617e-14,-59.999999999999986
Ethiopia,MisraqGojjam,Fababean,2.5 t/ha,180,126.00000000000004,88.49999999999999,55.99999999999999,130,38.46153846153847,-3.0769230769230442,-31.92307692307693,-56.92307692307692
Ethiopia,MisraqGojjam,Fababean,7.5 t/ha,95,67.50000000000001,23.99999999999999,4.499999999999988,130,-26.923076923076923,-48.076923076923066,-81.53846153846155,-96.53846153846155
Ethiopia,MisraqGojjam,Wheat,1 t/ha,160,108,80.66666666666667,5.999999999999984,130,23.076923076923077,-16.923076923076923,-37.94871794871795,-95.3846153846154
Ethiopia,MisraqGojjam,Wheat,2.5 t/ha,91.875,78.5,41.000000000000014,2,130,-29.326923076923077,-39.61538461538461,-68.46153846153845,-98.46153846153847
Ethiopia,MisraqGojjam,Wheat,7.5 t/ha,35,28.285714285714285,23,12,130,-73.07692307692307,-78.24175824175825,-82.3076923076923,-90.76923076923077
Rwanda,Burera,Beans,1 t/ha,105,78,61.00000000000001,34.99999999999997,107,-1.8691588785046727,-27.102803738317753,-42.99065420560747,-67.28971962616825
Rwanda,Burera,Beans,2.5 t/ha,73.33333333333334,38.00000000000001,21.000000000000007,11.999999999999995,107,-31.46417445482865,-64.48598130841121,-80.37383177570094,-88.78504672897196
