country,commodity,avg_price_last3_years
ETH,Beans,1188.6648677539608
ETH,Beans (fava),793.1087190542548
ETH,Maize (white),523.0962405141879
ETH,Wheat (white),658.7713812030956
RWA,Beans (dry),530.4626843724648
RWA,Maize,342.2007397660818
TZA,Beans,801.4248078596279
TZA,Beans (dry),859.6861538461538
TZA,Maize,272.9360845454545
TZA,Maize (white),361.29423076923075
