country,admin2_gadm,crop,crop_price_base
Ethiopia,Jimma,Maize,523
Ethiopia,Jimma,Soybean,793
Ethiopia,MisraqGojjam,Wheat,658
Ethiopia,MisraqGojjam,Fababean,793
Tanzania,Geita,Maize,316
Tanzania,Geita,Beans,830
Tanzania,Mbozi,Maize,316
Tanzania,Mbozi,Beans,830
Rwanda,Ngororero,Beans,530
Rwanda,Nyaruguru,Beans,530
Rwanda,Burera,Beans,530
Rwanda,Ngororero,Maize,342
Rwanda,Nyaruguru,Maize,342
Rwanda,Burera,Maize,342
