country,admin2_gadm,crop,treatment,mean_break_even_price,median_break_even_price,current_lime_price,pct_profitable_now,lime_price_gap,status
Ethiopia,Jimma,Maize,1 t/ha,719.774705941043,664.4789714285715,80,100,-639.774705941043,Profitable
Ethiopia,Jimma,Maize,2.5 t/ha,358.0001972462585,335.4523992380951,80,97.61904761904762,-278.0001972462585,Profitable
Ethiopia,Jimma,Maize,7.5 t/ha,106.2512704243602,93.88981387755099,80,61.904761904761905,-26.2512704243602,Profitable
Ethiopia,Jimma,Soybean,1 t/ha,298.2861855516841,304.14344380952366,80,92.6829268292683,-218.28618555168413,Profitable
Ethiopia,Jimma,Soybean,2.5 t/ha,159.75079128455286,150.08091428571433,80,90.2439024390244,-79.75079128455286,Profitable
Ethiopia,Jimma,Soybean,7.5 t/ha,72.99610393230462,71.93319183673468,80,39.02439024390244,7.003896067695379,Too Expensive
Ethiopia,MisraqGojjam,Fababean,1 t/ha,405.7587330445284,328.60409523809517,80,78.26086956521739,-325.7587330445284,Profitable
Ethiopia,MisraqGojjam,Fababean,2.5 t/ha,236.63594462747926,174.83132539682532,80,69.56521739130434,-156.63594462747926,Profitable
Ethiopia,MisraqGojjam,Fababean,7.5 t/ha,90.69771766062695,92.34538945578228,80,60.86956521739131,-10.69771766062695,Profitable
Ethiopia,MisraqGojjam,Wheat,1 t/ha,156.8403681047507,155.1268571428569,80,70.27027027027027,-76.8403681047507,Profitable
Ethiopia,MisraqGojjam,Wheat,2.5 t/ha,85.88725433607522,90.77284571428544,80,59.45945945945946,-5.887254336075216,Profitable
Ethiopia,MisraqGojjam,Wheat,7.5 t/ha,36.13186287440945,35.945216326530584,80,21.62162162162162,43.86813712559055,Too Expensive
Rwanda,Burera,Beans,1 t/ha,171.3119911579457,79.71877906976749,80,50,-91.3119911579457,Profitable
Rwanda,Burera,Beans,2.5 t/ha,85.04979331395344,41.14073643410762,80,45,-5.049793313953444,Profitable
Rwanda,Burera,Beans,7.5 t/ha,45.76621899224795,34.409208194905496,80,15,34.23378100775205,Too Expensive
Rwanda,Burera,Maize,1 t/ha,335.4770414201182,356.13195266272135,80,90,-255.4770414201182,Profitable
Rwanda,Burera,Maize,2.5 t/ha,227.2667573964497,227.73692307692306,80,95,-147.2667573964497,Profitable
Rwanda,Burera,Maize,7.5 t/ha,105.75186390532541,109.4563820794587,80,65,-25.751863905325408,Profitable
Rwanda,Ngororero,Beans,1 t/ha,92.97363460183227,92.97363460183223,80,59.375,-12.973634601832273,Profitable
Rwanda,Ngororero,Beans,2.5 t/ha,64.67435711002847,64.67435711002845,80,31.25,15.325642889971533,Too Expensive
Rwanda,Ngororero,Beans,7.5 t/ha,27.05625455552199,27.056254555521974,80,3.125,52.94374544447801,Too Expensive
Rwanda,Ngororero,Maize,1 t/ha,295.75827621774295,288.6995026378453,80,89.28571428571429,-215.75827621774295,Profitable
Rwanda,Ngororero,Maize,2.5 t/ha,178.81800855622043,170.9329511610452,80,89.28571428571429,-98.81800855622043,Profitable
Rwanda,Ngororero,Maize,7.5 t/ha,80.63629428742207,65.17179631792042,80,42.857142857142854,-0.63629428742207494,Profitable
Rwanda,Nyaruguru,Beans,1 t/ha,174.73776585171936,126.08042635658896,80,64.1025641025641,-94.73776585171936,Profitable
Rwanda,Nyaruguru,Beans,2.5 t/ha,158.9350009938382,123.95015503875982,80,66.66666666666666,-78.9350009938382,Profitable
Rwanda,Nyaruguru,Beans,7.5 t/ha,79.95709245534827,81.63496677740864,80,51.28205128205128,0.04290754465172597,Too Expensive
Rwanda,Nyaruguru,Maize,1 t/ha,303.80388506813676,223.5644749800894,80,75.67567567567568,-223.80388506813676,Profitable
Rwanda,Nyaruguru,Maize,2.5 t/ha,239.5473698131476,222.9111479289939,80,94.5945945945946,-159.5473698131476,Profitable
Rwanda,Nyaruguru,Maize,7.5 t/ha,130.4814943952906,115.07906224895213,80,78.37837837837837,-50.48149439529061,Profitable
Tanzania,Geita,Beans,1 t/ha,152.61290322580663,138.33333333333357,90,54.83870967741935,-62.61290322580663,Profitable
Tanzania,Geita,Beans,2.5 t/ha,136.67333333333323,116.19999999999985,90,73.33333333333333,-46.67333333333323,Profitable
Tanzania,Geita,Beans,7.5 t/ha,68.31031746031742,59.285714285714285,90,10,21.68968253968258,Too Expensive
Tanzania,Geita,Maize,1 t/ha,236.22342560933873,239.8313884049856,90,71.42857142857143,-146.22342560933873,Profitable
Tanzania,Geita,Maize,2.5 t/ha,122.80810256123632,137.70823802214932,90,60.71428571428571,-32.808102561236325,Profitable
Tanzania,Geita,Maize,7.5 t/ha,65.10320517103234,63.693977386852254,90,32.142857142857146,24.896794828967657,Too Expensive
Tanzania,Mbozi,Beans,1 t/ha,138.3333333333336,138.33333333333277,90,55.55555555555556,-48.3333333333336,Profitable
Tanzania,Mbozi,Beans,2.5 t/ha,100.00987654320977,88.53333333333313,90,37.03703703703704,-10.00987654320977,Profitable
Tanzania,Mbozi,Beans,7.5 t/ha,52.84479717813048,39.52380952380948,90,14.814814814814813,37.15520282186952,Too Expensive
Tanzania,Mbozi,Maize,1 t/ha,312.269230300582,291.05781570370465,90,86.20689655172413,-222.26923030058202,Profitable
Tanzania,Mbozi,Maize,2.5 t/ha,166.63752317036693,159.9596425351791,90,72.41379310344827,-76.63752317036693,Profitable
Tanzania,Mbozi,Maize,7.5 t/ha,76.4040360747129,79.10763933209623,90,37.93103448275862,13.595963925287094,Too Expensive
