lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi,total_benefit,total_cost,bcr,bcr_lo,bcr_hi,roi
5.5,0.6631,0.5754,0.7508,Beans,451.3355704697986,111.38584474885845,-313.34152934019806,-352.9236588703994,-273.7593998099967,57.67261004129182,-30.97895098303809,146.32417106562184,670.2947561600133,612.6221461187215,1.094140589605971,0.9494322051866623,1.2388489740252802,9.41405896059711
6,0.6606,0.5779,0.7433,Beans,451.3355704697986,111.38584474885845,-370.1627906408017,-407.4882423186541,-332.8373389629494,-0.5474377899311094,-84.14474790067334,83.04987232081089,667.7676307032195,668.3150684931506,0.9991808687013964,0.8740941931918512,1.1242675442109413,-0.08191312986035416
6.5,0.6476,0.5692,0.726,Beans,451.3355704697986,111.38584474885845,-431.7230754313384,-467.1077841561705,-396.3383667065061,-69.38141253968877,-148.6320668647453,9.869241785367876,654.6265783278911,724.0079908675799,0.9041703773786407,0.7947093557812266,1.0136313989760548,-9.582962262135936
7,0.6242,0.5473,0.701,Beans,451.3355704697986,111.38584474885845,-497.9772501547609,-532.6849555238884,-463.3146783426804,-148.72822918970883,-226.4626082406892,-71.09493515700046,630.9726840523003,779.7009132420092,0.8092496409023117,0.7095519520439524,0.9088176838713878,-19.07503590976884
0.5,0.1924,0.1354,0.2494,Fababean,594.75,111.38584474885845,58.736977625570766,24.83622762557078,92.6377276255708,200.5941794884899,124.66712748128415,276.5212314956958,256.28710186291914,55.69292237442922,4.601789436364547,3.2384734391047805,5.965105433624316,360.1789436364547
1,0.3634,0.2572,0.4696,Fababean,594.75,111.38584474885845,104.74630525114156,41.58385525114154,167.90875525114154,372.682413135678,231.21832676435776,514.1464995069983,484.0682578845365,111.38584474885845,4.3458687140719245,3.075832232414141,5.615905195729708,334.5868714071924
1.5,0.5129,0.3652,0.6606,Fababean,594.75,111.38584474885845,137.96850787671235,50.12393287671236,225.81308287671231,516.1314955871658,319.3871871404238,712.8758040339077,683.2102627104534,167.07876712328766,4.089150730962191,2.9115965040892813,5.266704957835101,308.9150730962191
2,0.6411,0.4595,0.8227,Fababean,594.75,111.38584474885845,158.5225355022831,50.5159355022831,266.5291355022831,631.2078375517502,389.30691396388056,873.1087611396198,853.9795270494672,222.7716894977169,3.8334293238738457,2.7475600909686975,4.919298556778993,283.34293238738456
2.5,0.7479,0.54,0.9558,Fababean,594.75,111.38584474885845,166.3489131278539,42.7003881278539,289.99743812785385,717.7782336750329,440.84430188032974,994.712165469736,996.2428455471791,278.4646118721461,3.5776281907037895,2.5831250474395593,4.572131333968019,257.7628190703789
3,0.8332,0.6063,1.0601,Fababean,594.75,111.38584474885845,161.3881657534247,26.439390753424615,296.33694075342476,775.7094786026153,473.4665294721766,1077.9524277330538,1109.8670128491906,334.1575342465753,3.321388564084322,2.4168961670719207,4.225880961096724,232.13885640843225
3.5,0.8972,0.6585,1.136,Fababean,594.75,111.38584474885845,143.7592433789954,1.7924183789954211,285.7855433789954,805.2679830432941,487.3068020938201,1123.3623693471668,1195.1184396642986,389.8504566210046,3.065581736194143,2.249983920289616,3.881521235306004,206.5581736194143
4,0.9398,0.696,1.1836,Fababean,594.75,111.38584474885845,113.40267100456624,-31.597378995433814,258.4027210045662,806.3205416426713,481.5658876188683,1131.0751956664742,1251.8639206381051,445.5433789954338,2.809746434703354,2.080850732659645,3.5386421367470624,180.97464347033537
4.5,0.9609,0.7183,1.2035,Fababean,594.75,111.38584474885845,70.258973630137,-74.02737636986296,214.54532363013695,778.7339490463482,455.5777592753285,1101.890138817368,1279.9702504162112,501.236301369863,2.553626397206453,1.908908149769378,3.1983446446435284,155.36263972064532
5,0.9606,0.7248,1.1965,Fababean,594.75,111.38584474885845,14.3876262557078,-125.85442374429226,154.68915125570766,722.6414106087233,408.54318493680864,1036.872841635036,1279.5706343530155,556.9292237442922,2.297546222750408,1.733563920726104,2.8617677030198445,129.7546222750408
5.5,0.939,0.714,1.164,Fababean,594.75,111.38584474885845,-54.15189611872154,-187.9706461187215,79.66685388127848,638.1761316841946,338.4640842873299,937.8881790810595,1250.7982778029161,612.6221461187215,2.0417124743651054,1.5524842456833712,2.5309407030468405,104.17124743651055
6,0.8959,0.6837,1.1081,Fababean,594.75,111.38584474885845,-135.4785434931506,-261.6844934931507,-9.272593493150566,525.0717015639664,242.40993953012287,807.7334635978098,1193.386770057117,668.3150684931506,1.7856649151243067,1.362718051646934,2.208611778601679,78.56649151243066
6.5,0.8315,0.6303,1.0326,Fababean,594.75,111.38584474885845,-229.4733658675799,-349.1370658675799,-109.86914086757996,383.5945309568343,115.58535790683766,651.470498652432,1107.6025218244142,724.0079908675799,1.5298208525256363,1.1596465223654941,1.8998111994202906,52.982085252563635
7,0.7456,0.5485,0.9426,Fababean,594.75,111.38584474885845,-336.25531324200915,-453.4805382420092,-219.08956324200915,213.4782091540019,-49.06954436565184,475.89275731925704,993.179122396011,779.7009132420092,1.2737949969384492,0.9370661961115065,1.6103529561617251,27.379499693844913
0.5,0.3722,0.3325,0.4119,Maize,243.45957446808512,111.38584474885845,34.92273124259206,25.257386136209085,44.58807634897503,147.257733432493,125.61039051058329,168.90507635440275,202.95065580692224,55.69292237442922,3.6441013894452188,3.2554102955146034,4.032792483375834,264.41013894452186
1,0.706,0.6321,0.78,Maize,243.45957446808512,111.38584474885845,60.496614825609655,42.50495227241815,78.51262333624796,273.5769790009726,233.2812953251758,313.92718998891525,384.96282374983105,111.38584474885845,3.4561198024561053,3.0943531545786174,3.818375985716377,245.61198024561048
1.5,1.0015,0.8987,1.1043,Maize,243.45957446808512,111.38584474885845,76.7459967064996,51.718352451180465,101.77364096181871,379.0122640175846,322.95818713163186,435.06634090353725,546.0910311408722,167.07876712328766,3.2684645723888477,2.9329696567207764,3.6039594880569186,226.84645723888477
2,1.2586,1.1322,1.385,Maize,243.45957446808512,111.38584474885845,83.64653092781501,52.87324071504909,114.41982114058098,463.5090611701829,394.5865386178054,532.4315837225606,686.2807506678998,222.7716894977169,3.080646163860661,2.771259801941078,3.3900325257802444,208.06461638606606
