lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,irr,irr_lo,irr_hi,lime_lab
1,0.2148,0.1734,0.2562,Beans,451.3355704697986,111.38584474885845,57.56858743916114,39.368838366203335,75.33689023806713,T2 (1 t/ha)
2.5,0.4584,0.3773,0.5395,Beans,451.3355704697986,111.38584474885845,43.798659937450566,29.213355658314548,58.00209991167339,T3 (2.5 t/ha)
7,0.6242,0.5473,0.701,Beans,451.3355704697986,111.38584474885845,NA,NA,5.022924289486295,T4 (7 t/ha)
1,0.3634,0.2572,0.4696,Fababean,594.75,111.38584474885845,167.84663048738503,110.10110988196418,225.03519839886437,T2 (1 t/ha)
2.5,0.7479,0.54,0.9558,Fababean,594.75,111.38584474885845,133.02418925640987,87.37523107417856,178.06113168004538,T3 (2.5 t/ha)
7,0.7456,0.5485,0.9426,Fababean,594.75,111.38584474885845,24.34687172120489,6.579635981219235,41.172640940239255,T4 (7 t/ha)
1,0.706,0.6321,0.78,Maize,243.45957446808512,111.38584474885845,127.4898518635464,110.95012644576525,143.96501802842275,T2 (1 t/ha)
2.5,1.4774,1.3326,1.6221,Maize,243.45957446808512,111.38584474885845,101.69847437943275,88.59507076459226,114.70863232485581,T3 (2.5 t/ha)
7,1.7197,1.5825,1.8568,Maize,243.45957446808512,111.38584474885845,20.689188109830816,15.68458608399122,25.60873434102875,T4 (7 t/ha)
1,0.2412,0.203,0.2794,Soybean,570.9599999999999,111.38584474885845,95.9867926862698,75.59387407668301,116.14326125334544,T2 (1 t/ha)
2.5,0.5053,0.4306,0.58,Soybean,570.9599999999999,111.38584474885845,75.1203529768582,58.90796373511588,91.10117442551693,T3 (2.5 t/ha)
7,0.5943,0.5235,0.6651,Soybean,570.9599999999999,111.38584474885845,8.632749284488664,2.229468260579109,14.846424020037372,T4 (7 t/ha)
1,0.1579,0.0862,0.2296,Wheat,447.44000000000005,111.38584474885845,31.772983293778758,NA,63.107512606347235,T2 (1 t/ha)
2.5,0.3271,0.1867,0.4674,Wheat,447.44000000000005,111.38584474885845,19.367657941778514,NA,44.67763149946411,T3 (2.5 t/ha)
7,0.3469,0.2139,0.4799,Wheat,447.44000000000005,111.38584474885845,NA,NA,NA,T4 (7 t/ha)
