lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,price_ratio_obs,r_p_break,r_p_break_hi,r_p_break_lo
1,0.1579,0.0862,0.2296,Wheat,4.017027486830509,6.333122229259025,10,4.355400696864112
1.5,0.2233,0.1236,0.323,Wheat,4.017027486830509,6.717420510523959,10,4.643962848297213
2,0.2797,0.1572,0.4022,Wheat,4.017027486830509,7.150518412584912,10,4.972650422675286
2.5,0.3271,0.1867,0.4674,Wheat,4.017027486830509,7.642922653622746,10,5.348737697903295
3,0.3654,0.2123,0.5185,Wheat,4.017027486830509,8.210180623973727,10,5.785920925747349
3.5,0.3947,0.2335,0.5558,Wheat,4.017027486830509,8.86749429946795,10,6.297229219143578
4,0.4149,0.2504,0.5795,Wheat,4.017027486830509,9.640877319836106,10,6.902502157031924
4.5,0.4262,0.2625,0.5899,Wheat,4.017027486830509,10.558423275457532,10,7.628411595185625
5,0.4284,0.2692,0.5875,Wheat,4.017027486830509,11.671335200746965,10,8.51063829787234
5.5,0.4215,0.2697,0.5734,Wheat,4.017027486830509,13.048635824436536,10,9.59190791768399
6,0.4057,0.2625,0.5489,Wheat,4.017027486830509,14.789253142716293,10,10.93095281472035
6.5,0.3808,0.2451,0.5165,Wheat,4.017027486830509,17.069327731092436,10,12.584704743465634
7,0.3469,0.2139,0.4799,Wheat,4.017027486830509,20.17872585759585,10,14.586372160866848
