crop,opt_lime_tha,npv_opt,npv_opt_lo,npv_opt_hi,profit_yr1_opt
Beans,3,190.17045552902255,100.71021435851861,279.6306966995264,-100.04977384389076
Fababean,4,806.3205416426713,481.5658876188683,1131.0751956664742,113.40267100456623
Maize,4,592.3294803890255,499.7966316774869,684.8623291005645,17.85757504711944
Soybean,3.5,398.2563585712634,288.53777226021907,507.9749448823078,-37.96780862100468
Wheat,2,57.522764223340374,-65.23758822867791,180.28311667535868,-97.62272149771688
