crop,crop_price,n_fields_total,lime_price,crop_price_retail,price_ratio_obs
Beans,451.3355704697986,149,111.38584474885845,644.7651006711409,4.052001145095452
Fababean,594.75,23,111.38584474885845,793,5.3395474204193745
Maize,243.45957446808512,188,111.38584474885845,374.5531914893617,2.1857317239637872
Soybean,570.9599999999999,41,111.38584474885845,793,5.1259655236025985
Wheat,447.44000000000005,37,111.38584474885845,658,4.017027486830509
