lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,lime_price,price_ratio_obs,r_p,profit,profit_lo,profit_hi
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,0.5,-49.421899315068494,-50.65828219178082,-48.18551643835616
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,0.75,-46.28638778538812,-48.140962100456626,-44.43181347031964
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,1,-43.15087625570776,-45.623642009132425,-40.678110502283104
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,1.25,-40.01536472602739,-43.106321917808216,-36.924407534246576
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,1.5,-36.879853196347035,-40.589001826484015,-33.17070456621005
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,1.75,-33.744341666666664,-38.071681735159814,-29.417001598173517
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,2,-30.6088301369863,-35.55436164383562,-25.663298630136985
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,2.25,-27.473318607305934,-33.03704155251141,-21.909595662100454
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,2.5,-24.337807077625566,-30.519721461187217,-18.155892694063926
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,2.75,-21.2022955479452,-28.002401369863016,-14.402189726027395
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,3,-18.06678401826484,-25.485081278538814,-10.64848675799087
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,3.25,-14.931272488584474,-22.96776118721461,-6.894783789954339
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,3.5,-11.79576095890411,-20.450441095890415,-3.1410808219178086
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,3.75,-8.660249429223743,-17.933121004566214,0.6126221461187282
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,4,-5.524737899543377,-15.41580091324201,4.366325114155252
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,4.25,-2.3892263698630103,-12.89848082191781,8.120028082191777
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,4.5,0.746285159817356,-10.381160730593608,11.873731050228313
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,4.75,3.881796689497722,-7.863840639269412,15.627434018264838
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,5,7.017308219178088,-5.34652054794521,19.381136986301374
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,5.25,10.152819748858455,-2.8292004566210083,23.1348399543379
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,5.5,13.28833127853882,-0.3118803652968064,26.888542922374434
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,5.75,16.423842808219188,2.2054397260273895,30.64224589041096
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,6,19.559354337899542,4.722759817351597,34.39594885844748
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,6.25,22.694865867579907,7.240079908675793,38.14965182648402
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,6.5,25.830377397260275,9.7574,41.903354794520546
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,6.75,28.96588892694064,12.274720091324197,45.65705776255708
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,7,32.10140045662101,14.792040182648392,49.41076073059361
0.5,0.1126,0.0904,0.1348,Beans,111.38584474885845,4.052001145095452,7.25,35.23691198630137,17.3093602739726,53.164463698630144
