lime_tha,yield_resp,yield_resp_lo,yield_resp_hi,crop,crop_price,lime_price,profit_yr1,profit_yr1_lo,profit_yr1_hi,npv,npv_lo,npv_hi
0,0,0,0,Beans,451.3355704697986,111.38584474885845,0,0,0,0,0,0
0.5,0.1126,0.0904,0.1348,Beans,451.3355704697986,111.38584474885845,-4.872537139529896,-14.892186803959433,5.147112524899626,58.128808199567935,35.6879341432381,80.56968225589773
1,0.2148,0.1734,0.2562,Beans,451.3355704697986,111.38584474885845,-14.438964211945716,-33.124256829395364,4.246328405503945,105.74477449887321,63.895576934366304,147.59397206338014
1.5,0.3065,0.2489,0.364,Beans,451.3355704697986,111.38584474885845,-28.7444147742944,-54.74134363335479,-2.7926194722809896,142.74681387964415,84.5218433551128,200.87069938590378
2,0.3877,0.3169,0.4585,Beans,451.3355704697986,111.38584474885845,-47.78888882657597,-79.7434472158377,-15.834330437314236,169.13492634188074,97.5667334054776,240.70311927828388
2.5,0.4584,0.3773,0.5395,Beans,451.3355704697986,111.38584474885845,-71.57238636879046,-108.1757011338911,-34.9690716036898,184.9091118855829,102.92916206718894,266.8890617039769
3,0.5187,0.4302,0.6072,Beans,451.3355704697986,111.38584474885845,-100.04977384389076,-139.99297183046795,-60.10657585731366,190.17045552902255,100.71021435851861,279.6306966995264
3.5,0.5685,0.4754,0.6616,Beans,451.3355704697986,111.38584474885845,-133.2661848089241,-175.28552641966235,-91.24684319818584,184.8178722539277,90.7077202429229,278.92802426493245
4,0.6079,0.5128,0.7029,Beans,451.3355704697986,111.38584474885845,-171.1764857068432,-214.09849845852105,-128.2996065122124,168.9524470785704,72.82059470213045,264.98321443673836
4.5,0.6367,0.5422,0.7313,Beans,451.3355704697986,111.38584474885845,-213.8709436517422,-256.52215506113816,-171.17459868529932,142.37200996640684,46.84666769959745,237.99843725148776
5,0.6552,0.5632,0.7471,Beans,451.3355704697986,111.38584474885845,-261.2141579724802,-302.73703045570164,-219.73641904630574,105.37981597225235,12.381599162236967,198.27694776399596
5.5,0.6631,0.5754,0.7508,Beans,451.3355704697986,111.38584474885845,-313.34152934019806,-352.9236588703994,-273.7593998099967,57.67261004129182,-30.97895098303809,146.32417106562184
6,0.6606,0.5779,0.7433,Beans,451.3355704697986,111.38584474885845,-370.1627906408017,-407.48824231865404,-332.8373389629494,-0.5474377899311094,-84.14474790067334,83.04987232081089
6.5,0.6476,0.5692,0.726,Beans,451.3355704697986,111.38584474885845,-431.7230754313384,-467.1077841561705,-396.3383667065061,-69.38141253968877,-148.6320668647453,9.869241785367876
7,0.6242,0.5473,0.701,Beans,451.3355704697986,111.38584474885845,-497.9772501547609,-532.6849555238884,-463.3146783426804,-148.72822918970883,-226.46260824068918,-71.09493515700046
0,0,0,0,Fababean,594.75,111.38584474885845,0,0,0,0,0,0
0.5,0.1924,0.1354,0.2494,Fababean,594.75,111.38584474885845,58.736977625570766,24.83622762557078,92.63772762557079,200.5941794884899,124.66712748128415,276.5212314956958
1,0.3634,0.2572,0.4696,Fababean,594.75,111.38584474885845,104.74630525114155,41.58385525114154,167.90875525114154,372.682413135678,231.21832676435776,514.1464995069983
1.5,0.5129,0.3652,0.6606,Fababean,594.75,111.38584474885845,137.96850787671235,50.12393287671236,225.81308287671231,516.1314955871658,319.3871871404238,712.8758040339077
2,0.6411,0.4595,0.8227,Fababean,594.75,111.38584474885845,158.5225355022831,50.5159355022831,266.5291355022831,631.2078375517502,389.30691396388056,873.1087611396198
2.5,0.7479,0.54,0.9558,Fababean,594.75,111.38584474885845,166.3489131278539,42.7003881278539,289.99743812785385,717.7782336750329,440.84430188032974,994.712165469736
3,0.8332,0.6063,1.0601,Fababean,594.75,111.38584474885845,161.3881657534247,26.439390753424618,296.33694075342476,775.7094786026153,473.4665294721766,1077.9524277330538
3.5,0.8972,0.6585,1.136,Fababean,594.75,111.38584474885845,143.7592433789954,1.7924183789954213,285.7855433789954,805.2679830432941,487.3068020938201,1123.3623693471668
4,0.9398,0.696,1.1836,Fababean,594.75,111.38584474885845,113.40267100456623,-31.597378995433814,258.4027210045662,806.3205416426713,481.5658876188683,1131.0751956664742
4.5,0.9609,0.7183,1.2035,Fababean,594.75,111.38584474885845,70.258973630137,-74.02737636986296,214.54532363013698,778.7339490463482,455.5777592753285,1101.8901388173679
5,0.9606,0.7248,1.1965,Fababean,594.75,111.38584474885845,14.3876262557078,-125.85442374429226,154.68915125570766,722.6414106087233,408.54318493680864,1036.872841635036
5.5,0.939,0.714,1.164,Fababean,594.75,111.38584474885845,-54.15189611872154,-187.9706461187215,79.66685388127848,638.1761316841946,338.4640842873299,937.8881790810597
6,0.8959,0.6837,1.1081,Fababean,594.75,111.38584474885845,-135.4785434931506,-261.6844934931507,-9.272593493150566,525.0717015639664,242.40993953012287,807.7334635978098
