crop,lime_tha,ph_quartile,n,mean_profit,se_profit,pct_profitable,mean_ph,lime_lab
Beans,1,"Q1
(most acid)",37,33.62969330489517,34.21539064411218,45.94594594594595,4.80918918918919,T2 (1 t/ha)
Beans,1,Q2,37,14.067748200128587,38.10263840663296,32.432432432432435,5.1891891891891895,T2 (1 t/ha)
Beans,1,Q3,37,-34.14294424163921,16.078933473334406,24.324324324324326,5.723513513513513,T2 (1 t/ha)
Beans,1,"Q4
(least acid)",37,-28.613700695980118,14.088526259391408,21.62162162162162,6.448918918918919,T2 (1 t/ha)
Beans,2.5,"Q1
(most acid)",37,21.661503171140197,42.554906181464084,45.94594594594595,4.80918918918919,T3 (2.5 t/ha)
Beans,2.5,Q2,37,-88.74913997470615,53.55653435943722,21.62162162162162,5.1891891891891895,T3 (2.5 t/ha)
Beans,2.5,Q3,37,-91.29141955125208,27.100790969140558,18.91891891891892,5.723513513513513,T3 (2.5 t/ha)
Beans,2.5,"Q4
(least acid)",36,-129.94166151375984,14.144827259184064,5.555555555555555,6.4575,T3 (2.5 t/ha)
Beans,7,"Q1
(most acid)",37,-453.51748055892995,55.559063783741145,10.81081081081081,4.80918918918919,T4 (7 t/ha)
Beans,7,Q2,37,-490.03248990311897,61.50584664992795,10.81081081081081,5.1891891891891895,T4 (7 t/ha)
Beans,7,Q3,37,-518.3360686422506,30.56846283747121,0,5.723513513513513,T4 (7 t/ha)
Beans,7,"Q4
(least acid)",36,-516.2742765855603,34.47373091531613,2.7777777777777777,6.4575,T4 (7 t/ha)
Fababean,1,"Q1
(most acid)",6,297.90836060828445,142.24508585208804,83.33333333333334,5.076666666666666,T2 (1 t/ha)
Fababean,1,Q2,6,245.22786799915644,123.88755264888259,66.66666666666666,5.373333333333333,T2 (1 t/ha)
Fababean,1,Q3,6,42.08806219127393,76.65638242639558,50,5.596666666666667,T2 (1 t/ha)
Fababean,1,"Q4
(least acid)",5,185.2235942004174,81.62199249223292,80,6.248,T2 (1 t/ha)
Fababean,2.5,"Q1
(most acid)",6,423.1468583659492,182.2002021308586,83.33333333333334,5.076666666666666,T3 (2.5 t/ha)
Fababean,2.5,Q2,6,314.4315146159498,167.03494416297949,66.66666666666666,5.373333333333333,T3 (2.5 t/ha)
Fababean,2.5,Q3,6,-145.48734692649273,102.35734975721437,16.666666666666664,5.596666666666667,T3 (2.5 t/ha)
Fababean,2.5,"Q4
(least acid)",5,49.53857653365286,57.05865018254795,60,6.248,T3 (2.5 t/ha)
Fababean,7,"Q1
(most acid)",6,47.10779211513411,180.42306129848657,66.66666666666666,5.076666666666666,T4 (7 t/ha)
Fababean,7,Q2,6,-194.4536965753436,161.0265743627457,33.33333333333333,5.373333333333333,T4 (7 t/ha)
Fababean,7,Q3,6,-711.9079643979792,111.08840558326445,0,5.596666666666667,T4 (7 t/ha)
Fababean,7,"Q4
(least acid)",5,-365.1696767792779,70.19174275004622,0,6.248,T4 (7 t/ha)
Maize,1,"Q1
(most acid)",48,108.38854649117906,30.23460277676021,75,4.882083333333333,T2 (1 t/ha)
Maize,1,Q2,44,205.53119676005423,29.239371029694652,90.9090909090909,5.26,T2 (1 t/ha)
