crop,tau,tau_lab,lime_tha,yield_resp
Maize,0.2,Q20,0,0
Maize,0.2,Q20,0.1,0.04290941703113875
Maize,0.2,Q20,0.2,0.08494586568547428
Maize,0.2,Q20,0.30000000000000004,0.12610934596300666
Maize,0.2,Q20,0.4,0.16639985786373576
Maize,0.2,Q20,0.5,0.2058174013876617
Maize,0.2,Q20,0.6000000000000001,0.24436197653478445
Maize,0.2,Q20,0.7000000000000001,0.2820335833051039
Maize,0.2,Q20,0.8,0.31883222169862024
Maize,0.2,Q20,0.9,0.35475789171533334
Maize,0.2,Q20,1,0.3898105933552432
Maize,0.2,Q20,1.1,0.42399032661834996
Maize,0.2,Q20,1.2000000000000002,0.4572970915046535
Maize,0.2,Q20,1.3,0.4897308880141537
Maize,0.2,Q20,1.4000000000000001,0.5212917161468509
Maize,0.2,Q20,1.5,0.5519795759027446
Maize,0.2,Q20,1.6,0.5817944672818353
Maize,0.2,Q20,1.7000000000000002,0.6107363902841227
Maize,0.2,Q20,1.8,0.6388053449096069
Maize,0.2,Q20,1.9000000000000001,0.6660013311582881
Maize,0.2,Q20,2,0.6923243490301658
Maize,0.2,Q20,2.1,0.7177743985252406
Maize,0.2,Q20,2.2,0.742351479643512
Maize,0.2,Q20,2.3000000000000003,0.7660555923849803
Maize,0.2,Q20,2.4000000000000004,0.7888867367496454
Maize,0.2,Q20,2.5,0.8108449127375069
Maize,0.2,Q20,2.6,0.8319301203485657
Maize,0.2,Q20,2.7,0.852142359582821
Maize,0.2,Q20,2.8000000000000003,0.8714816304402734
Maize,0.2,Q20,2.9000000000000004,0.8899479329209222
Maize,0.2,Q20,3,0.9075412670247679
Maize,0.2,Q20,3.1,0.9242616327518105
Maize,0.2,Q20,3.2,0.9401090301020498
Maize,0.2,Q20,3.3000000000000003,0.9550834590754862
Maize,0.2,Q20,3.4000000000000004,0.9691849196721191
Maize,0.2,Q20,3.5,0.9824134118919489
Maize,0.2,Q20,3.6,0.9947689357349753
Maize,0.2,Q20,3.7,1.0062514912011988
Maize,0.2,Q20,3.8000000000000003,1.016861078290619
Maize,0.2,Q20,3.9000000000000004,1.0265976970032358
Maize,0.2,Q20,4,1.0354613473390495
Maize,0.2,Q20,4.1000000000000005,1.04345202929806
Maize,0.2,Q20,4.2,1.0505697428802674
Maize,0.2,Q20,4.3,1.0568144880856714
Maize,0.2,Q20,4.4,1.0621862649142724
Maize,0.2,Q20,4.5,1.06668507336607
Maize,0.2,Q20,4.6000000000000005,1.0703109134410647
Maize,0.2,Q20,4.7,1.073063785139256
Maize,0.2,Q20,4.800000000000001,1.0749436884606438
Maize,0.2,Q20,4.9,1.0759506234052287
Maize,0.2,Q20,5,1.0760845899730105
Maize,0.2,Q20,5.1000000000000005,1.0753455881639888
Maize,0.2,Q20,5.2,1.073733617978164
Maize,0.2,Q20,5.300000000000001,1.0712486794155363
Maize,0.2,Q20,5.4,1.0678907724761053
Maize,0.2,Q20,5.5,1.0636598971598705
Maize,0.2,Q20,5.6000000000000005,1.058556053466833
Maize,0.2,Q20,5.7,1.0525792413969925
Maize,0.2,Q20,5.800000000000001,1.0457294609503482
Maize,0.2,Q20,5.9,1.0380067121269012
Maize,0.2,Q20,6,1.0294109949266508
Maize,0.2,Q20,6.1000000000000005,1.0199423093495972
Maize,0.2,Q20,6.2,1.0096006553957402
Maize,0.2,Q20,6.300000000000001,0.9983860330650802
Maize,0.2,Q20,6.4,0.9862984423576171
Maize,0.2,Q20,6.5,0.973337883273351
Maize,0.2,Q20,6.6000000000000005,0.9595043558122809
Maize,0.2,Q20,6.7,0.9447978599744083
Maize,0.2,Q20,6.800000000000001,0.9292183957597324
